epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.033,0.79903,1.50882,1.09107,0.76127,0.74407,0.81501,0.61267,0.854,1.88779,1.10989,0.000410354,0.000410354,0.000410354
2,532.893,0.95519,1.17168,1.1568,0.60581,0.62399,0.64784,0.42145,1.34187,1.73192,1.60423,0.000745145,0.000745145,0.000745145
3,796.586,1.01514,1.16734,1.20235,0.67434,0.58158,0.65893,0.45338,1.13475,1.6111,1.30292,0.000997437,0.000997437,0.000997437
4,1079.91,1.02068,1.12751,1.20438,0.66073,0.62259,0.6616,0.45842,1.23429,2.03032,1.42659,0.00087875,0.00087875,0.00087875
5,1731.11,0.94889,1.01838,1.14404,0.68847,0.74489,0.75463,0.53663,1.05302,1.24837,1.21181,0.000755,0.000755,0.000755
