epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8963,0.83238,1.65285,1.22849,0.71505,0.74496,0.78051,0.52333,1.0448,1.61405,1.49643,0.00041351,0.00041351,0.00041351
2,159.541,0.97097,1.242,1.27703,0.79081,0.66377,0.76317,0.50498,1.11813,1.28086,1.54906,0.000797302,0.000797302,0.000797302
3,230.797,1.03579,1.28219,1.32057,0.6437,0.73445,0.72034,0.45341,1.1785,1.44145,1.5647,0.00114809,0.00114809,0.00114809
4,299.695,1.03661,1.25603,1.33394,0.69222,0.70842,0.76626,0.52049,1.09617,1.62757,1.49429,0.0011015,0.0011015,0.0011015
5,358.559,1.00162,1.20915,1.31228,0.83618,0.72134,0.82689,0.55784,1.11212,1.17792,1.50376,0.001052,0.001052,0.001052
6,426.889,0.98219,1.12606,1.28095,0.72654,0.72178,0.81225,0.58165,1.03955,1.09084,1.41641,0.0010025,0.0010025,0.0010025
7,472.263,0.95325,1.04056,1.27914,0.85034,0.78197,0.86118,0.62737,0.96729,0.91323,1.35847,0.000953,0.000953,0.000953
8,518.013,0.89954,0.94676,1.24019,0.82967,0.82332,0.89002,0.66004,0.98183,0.79445,1.39181,0.0009035,0.0009035,0.0009035
9,565.864,0.89902,0.936,1.24056,0.87059,0.78078,0.8836,0.66721,1.00805,0.82715,1.37729,0.000854,0.000854,0.000854
10,611.302,0.88696,0.89496,1.24107,0.86764,0.77815,0.88782,0.67313,0.87986,0.89838,1.28147,0.0008045,0.0008045,0.0008045
11,685.431,0.83159,0.83687,1.18867,0.91054,0.80249,0.89372,0.68535,0.94226,0.72555,1.402,0.000755,0.000755,0.000755
12,763.458,0.80662,0.81198,1.17968,0.8989,0.82457,0.9112,0.72178,0.90793,0.68061,1.33155,0.0007055,0.0007055,0.0007055
13,845.724,0.7669,0.75878,1.14911,0.88897,0.79793,0.89401,0.69235,0.85677,0.70028,1.29348,0.000656,0.000656,0.000656
14,923.876,0.76665,0.75593,1.14769,0.93268,0.79707,0.92943,0.73201,0.80233,0.63044,1.22204,0.0006065,0.0006065,0.0006065
15,1004.16,0.75746,0.73192,1.14877,0.91576,0.86029,0.92505,0.73535,0.80781,0.60327,1.24137,0.000557,0.000557,0.000557
16,1082.35,0.67812,0.58519,1.09767,0.9171,0.8479,0.92713,0.72715,0.81989,0.61125,1.26985,0.0005075,0.0005075,0.0005075
17,1156.88,0.65325,0.52695,1.08662,0.90599,0.84537,0.92927,0.75085,0.8089,0.61168,1.28143,0.000458,0.000458,0.000458
18,1273.23,0.64262,0.51087,1.06371,0.89823,0.89162,0.93896,0.74376,0.84169,0.59226,1.28738,0.0004085,0.0004085,0.0004085
19,1401.95,0.60662,0.49206,1.04465,0.92158,0.8629,0.93971,0.74793,0.83427,0.57094,1.31487,0.000359,0.000359,0.000359
20,1473.76,0.59027,0.45753,1.0385,0.88686,0.8999,0.93375,0.75993,0.76385,0.54717,1.26468,0.0003095,0.0003095,0.0003095
21,1544.48,0.56542,0.43779,1.02252,0.9285,0.88106,0.9473,0.77365,0.77478,0.53608,1.30953,0.00026,0.00026,0.00026
22,1617.17,0.54229,0.4247,1.00181,0.93261,0.88358,0.94659,0.78303,0.75467,0.51794,1.25757,0.0002105,0.0002105,0.0002105
23,1694.3,0.52537,0.3969,0.99336,0.92014,0.91817,0.95624,0.78986,0.74802,0.47772,1.25252,0.000161,0.000161,0.000161
24,1758.3,0.51059,0.37539,0.97336,0.93697,0.8992,0.95732,0.79325,0.7447,0.48222,1.27768,0.0001115,0.0001115,0.0001115
25,1802.66,0.5031,0.37293,0.9791,0.94537,0.91389,0.95748,0.80548,0.73157,0.4516,1.26898,6.2e-05,6.2e-05,6.2e-05
